Dataset,Paper Title,Year,Publisher,Paper Link,Project Link,Description,Size & Content,Indoor/Outdoor,Real/Synthetic,Modalities,No. Classes,Tasks,No. Papers,No. Benchmarks,Column1,checked?
SCAND (Socially CompliAnt Navigation Dataset),Socially CompliAnt Navigation Dataset (SCAND): A Large-Scale Dataset Of Demonstrations For Social Navigation,2022,RA-L,https://arxiv.org/pdf/2203.15041v2,https//www.cs.utexas.edu/~xiao/SCAND/SCAND.html,large-scale; first-person-view dataset of socially compliant navigation demonstrations,8.7 hours; 138 trajectories; 25 miles of socially compliant; human tele-operated driving demonstrations that comprises multi-modal data streams including 3D lidar; joystick commands; odometry; visual and inertial information; collected on two morphologically different mobile robots (a Boston Dynamics Spot and a Clearpath Jackal) by four different human demonstrators in both indoor and outdoor environments.,mixed,,,,Social Navigation,14,0,,
ScanEnts3D (Scan Entitities in 3D),ScanEnts3D: Exploiting Phrase-to-3D-Object Correspondences for Improved Visio-Linguistic Models in 3D Scenes,2024,WACV,https://arxiv.org/pdf/2212.06250v2,https//scanents3d.hub.io,connecting natural language to real-world 3D scenes; extension of ScanRefer and ReferIt3D,dataset provides explicit correspondences between 369k objects across 84k referential sentences; covering 705 real-world scenes,NLP,,,,neural listening; language generation,1,0,,
ScanNet,ScanNet: Richly-annotated 3D Reconstructions of Indoor Scenes,2017,CVPR,https://arxiv.org/pdf/1702.04405v2,http//www.scan-net.org, instance-level indoor RGB-D dataset that includes both 2D and 3D data,RGB-D video dataset containing 2.5 million views in 1513 annotated scans with an approximate 90% surface coverage,indoor,,,,Semantic Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; 3D Reconstruction; Scene Segmentation; Scene Recognition; 3D Instance Segemtnation; 3D Point Cloud Classification; 3D Semantic Instance Segementation…,1369,20,,
ScanNet++,ScanNet++: A High-Fidelity Dataset of 3D Indoor Scenes,2023,ICCV,https://kaldir.vc.in.tum.de/scannetpp/,,large scale dataset with 450+ 3D indoor scenes containing sub-millimeter resolution laser scans; registered 33-megapixel DSLR images; and commodity RGB-D streams from iPhone,ScanNet++ contains 460 scenes; 280;000 captured DSLR images; and over 3.7M iPhone RGBD frames,indoor,,,,3D Semantic Segmentation,10,2,,
ScanNet200,Language-Grounded Indoor 3D Semantic Segmentation in the Wild,2022,ECCV,https://arxiv.org/pdf/2204.07761v2,https//kaldir.vc.in.tum.de/scannet_benchmark/,The ScanNet200 benchmark studies 200-class 3D semantic segmentation; The source of scene data is identical to ScanNet; but parses a larger vocabulary for semantic and instance segmentation,The source of scene data is identical to ScanNet; but parses a larger vocabulary for semantic and instance segmentation,indoor,,,,3D Semantic Segmentation; 3D Instance Segmentation; 3D Open-Vocabulary Instance Segmentation,33,3,,
ScanNet V2,ScanNet: Richly-annotated 3D Reconstructions of Indoor Scenes,2018,arXiv,https://arxiv.org/pdf/1702.04405v2,http//www.scan-net.org, instance-level indoor RGB-D dataset that includes both 2D and 3D data; ScanNet v2 = newest version of ScanNet,RGB-D video dataset containing 2.5 million views in 1513 annotated scans with an approximate 90% surface coverage,indoor,,,,Semantic Segmentation; 3D Object Detection; Depth Estimation; Panoptic Segmentation; 3D Reconstruction; Scene Segmentation; Scene Recognition; 3D Instance Segemtnation; 3D Point Cloud Classification; 3D Semantic Instance Segementation…,1369,20,,
ScanObjectNN,Revisiting Point Cloud Classification: A New Benchmark Dataset and Classification Model on Real-World Data,2019,ICCV,https://arxiv.org/pdf/1908.04616v2,https//hkust-vgd.hub.io/scanobjectnn/,Benchmark Dataset and Classification Model on Real-World Data,real-world dataset comprising of 2902 3D objects in 15 categories;  challenging point cloud classification datasets due to the background; missing parts and deformations,indoor,real,using scenes from SceneNN and ScanNet; point cloud data,15, 3D Point Cloud Classification; Zero-Shot  3D Point Cloud Classification;  3D Point Cloud Data Augmentation…,319,10,,c
ScanRefer,ScanRefer: 3D Object Localization in RGB-D Scans using Natural Language,2020,ECCV,https://www.ecva.net/papers/eccv_2020/papers_ECCV/papers/123650205.pdf,hubhttps//hub.com/daveredrum/ScanRefer,task of 3D object localization in RGB-D scans using natural language descriptions; input: point cloud of a scanned 3D scene along with a free-form description of a specified target object; ScanRefer to address this task,dataset contains 51;583 descriptions of 11;046 objects from 800 ScanNet scenes,mixed,,,,Object Detection; Object Localization; Sentence Embeddings,48,0,,
SceneNet,SceneNet: Understanding Real World Indoor Scenes With Synthetic Data,2016,CVPR,https://arxiv.org/pdf/1511.07041v2,https//robotvault.bitbucket.io,dataset of labelled synthetic indoor scenes,11 Bedroom scenes with 428 objects; 15 Office scenes with 1;203 objects; 11 Kitchen scenes with 797 objects; 10 Living Room scenes with 715 objects; 10 Bathrooms with 556 objects,indoor,synthetic,,,Object Detection; Semantic Segmentation; Scene Understanding; 3D Reconstruction; Single-View 3D Reconstruction; Surface Reconstruction,17,0,,
SceneNN,SceneNN: a Scene Meshes Dataset with aNNotations,2016,3DV,https://ieeexplore.ieee.org/document/7785081,http//103.24.77.34/scenenn/home/,RGB-D scene dataset consisting of more than 100 indoor scenes,SceneNN; an RGB-D scene dataset consisting of 100 scenes,indoor,,,, 3D Instance Segmentation,59,1,,
ScribbleKITTI,Scribble-Supervised LiDAR Semantic Segmentation,2022,CVPR,https://arxiv.org/pdf/2203.08537v2,https//hub.com/ouenal/scribblekitti,scribble-annotated dataset for LiDAR semantic segmentation,based on SemanticKITTI (10 sequences; 19130 scans; 2349 million points); ScribbleKITTI contains 189 million labeled points corresponding to only 8.06% of the total point count;  19 classes (as in SemanticKITTI),outdoor,,,,(Semi-Supervised / Weakly-Supervised / 3D / LiDAR) Semantic Segmentation; Weakly Supervised 3D Point Cloud Segmentation,17,2,,
Semantic3D,Semantic3D.net: A new Large-scale Point Cloud Classification Benchmark,2017,ISPRS,https://arxiv.org/pdf/1704.03847v1,http//www.semantic3d.net,point cloud dataset of scanned outdoor scenes ,over 3 billion points; 15 training and 15 test scenes annotated with 8 class labels; covers a range of diverse urban scenes: churches; streets; railroad tracks; squares; villages; soccer fields; castles…,outdoor,,,,Semantic Segmentation,62,1,,
SemanticKITTI,SemanticKITTI: A Dataset for Semantic Scene Understanding of LiDAR Sequences,2019,ICCV,https://arxiv.org/pdf/1904.01416v3,https//www.semantic-kitti.org,large-scale outdoor-scene dataset for point cloud semantic segmentation; derived from the KITTI Vision Odometry Benchmark which it extends with dense point-wise annotations for the complete 360 field-of-view of the employed automotive LiDAR,22 sequences; 23201 point clouds for training and 20351 for testing,outdoor,,,,(3D) Semantic Segmentation; Panoptic Segmentation; 3D Semantic Scene Completion…,582,10,,
SemanticKITTI-C,Robo3D: Towards Robust and Reliable 3D Perception against Corruptions,2023,ICCV,https://arxiv.org/pdf/2303.17597v4,https//ldkong.com/Robo3D,Semantic-KITTI + simulated physically-principled corruptions on the val set; corruptions: 1) Severe weather conditions: fog; rain; snow -> back-scattering; attenuation; reflections; 2) External disturbances: bumpy surfaces; dust; insects... -> motion blur; LiDAR beam missing issues; 3) Internal sensor failure: incomplete echo; miss detection of instances with a dark color (e.g.; black car); crosstalk among multiple sensors -> deteriorates the 3D perception accuracy,SemanticKITTI + corruption,outdoor,synthetic,,,(Robust) 3D Semantic Segementation,23,1,,
SemanticPOSS,SemanticPOSS: A Point Cloud Dataset with Large Quantity of Dynamic Instances,2020,IV,https://arxiv.org/pdf/2002.09147v1,http//www.poss.pku.edu.cn/semanticposs.html,dataset for 3D semantic segmentation,2988 various and complicated LiDAR scans with large quantity of dynamic instances; The data is collected in Peking University and uses the same data format as SemanticKITTI,outdoor,,,,(3D) Semantic Segmentation; Autonomous Driving; Weakly supervised Semantic Segmentation,61,2,,
SemanticSpray,Energy-Based Detection of Adverse Weather Effects in LiDAR Data,2023,RA-L,https://ieeexplore.ieee.org/document/10143263,https//semantic-spray-dataset.hub.io,This dataset provides semantic labels for a subset of the Road Spray dataset; which contains scenes of vehicles traveling at different speeds on wet surfaces; creating a trailing spray effect,semantic labels for over 200 dynamic scenes; labeling each point in the LiDAR point clouds as background (road; vegetation; buildings; ...); foreground (moving vehicles); and noise (spray; LiDAR artifacts),outdoor,,,,Semantic Segmentation,2,0,,
SemanticSTF,3D Semantic Segmentation in the Wild: Learning Generalized Models for Adverse-Condition Point Clouds,2023,CVPR,https://arxiv.org/pdf/2304.00690v1,https//hub.com/xiaoaoran/SemanticSTF,adverse-weather point cloud dataset that provides dense point-level annotations and allows to study 3DSS under various adverse weather conditions; extends the STF Detection Benchmark by providing point-wise annotations of 21 semantic categories,contains 2;076 scans captured by a Velodyne HDL64 S3D LiDAR sensor from STF that cover various adverse weather conditions including 694 snowy; 637 dense-foggy; 631 light-foggy; and 114 rainy (all rainy LiDAR scans in STF); 21 semantic categories,outdoor,,,,(3D) Semantic Segmentation; LiDAR Semantic Segmentation,8,1,,
SensatUrban,Towards Semantic Segmentation of Urban-Scale 3D Point Clouds: A Dataset; Benchmarks and Challenges,2021,CVPR,https://arxiv.org/pdf/2009.03137v3,https//hub.com/QingyongHu/SensatUrban,urban-scale photogrammetric point cloud dataset,nearly three billion richly annotated points; large areas from two UK cities; covering about 6 km^2 of the city landscape; each 3D point is labeled as one of 13 semantic classes; such as ground; vegetation; car; etc..,outdoor,,,,Semantic Segmentation; Scene Understanding; 3D Semantic Segmentation,25,1,,
ShapeGlot,ShapeGlot: Learning Language for Shape Differentiation,2019,ICCV,https://arxiv.org/pdf/1905.02925v1,https//ai.stanford.edu/~optas/shapeglot/,grounding referential language in the shape of common objects,CiC (Chairs in Context); comprised of 4;511 unique chairs from ShapeNet and 78;789 referential utterances. In CiC chairs are organized into 4;054 sets of size 3 (representing contrastive communication contexts) and each utterance is intended to distinguish a chair in context,indoor,,,,Neural Language Understanding (listening); Neural Language Production (speaking),13,0,,
ShapeNet,ShapeNet: An Information-Rich 3D Model Repository,2015,arXiv,https://arxiv.org/pdf/1512.03012v1,https//shapenet.org,large scale repository for 3D CAD models developed by researchers from Stanford University,more than 3000000 models; 220000 models out of which are classified into 3135 categories (WordNet synsets); ShapeNet Parts subset contains 31693 meshes categorised into 16 common object classes (i.e. table; chair; plane etc.); Each shapes ground truth contains 2-5 parts (with a total of 50 part classes).,indoor,synthetic,raw 3D model data  from public online repositories and existing research datasets,3135,Semantic Segmentation; 3D Reconstruction; Novel View Synthesis; Single-View 3D Reconstruction; Point Cloud Generation; 3D Object Reconstruction; Point Cloud Completion; 3D Part Segmentation,1880,13,,c
ShapeNet-ViPC (View-guided Point Cloud Completion),View-Guided Point Cloud Completion,2021,CVPR,https://arxiv.org/pdf/2104.05666v2,https//hub.com/Hydrogenion/ViPC,A large-scale dataset for the point cloud completion task on the ShapeNet dataset, 38;328 objects from 13 categories; Each object has 24 sets of ground-truth data consisting of two incomplete point clouds (produced under two typical data acquisition scenarios; a view-aligned image and a complete ground-truth point cloud),indoor,,,,Point Cloud Completion,6,1,,
ShapeNetCore,ShapeNet: An Information-Rich 3D Model Repository,2015,arXiv,https://arxiv.org/pdf/1512.03012v1,https//shapenet.org,subset of the full ShapeNet dataset with single clean 3D models and manually verified category and alignment annotations,55 common object categories with about 51300 unique 3D models; The 12 object categories of PASCAL 3D+; a popular computer vision 3D benchmark dataset; are all covered by ShapeNetCore,indoor,synthetic,raw 3D model data from public online repositories and existing research datasets,55,3D Reconstruction; Single-View 3D Reconstruction; 3D Classification,174,1,,c
ShapeTalk,ShapeTalk: A Language Dataset and Framework for 3D Shape Edits and Deformations,2023,CVPR,https://openaccess.thecvf.com//content/CVPR2023/papers/Achlioptas_ShapeTalk_A_Language_Dataset_and_Framework_for_3D_Shape_Edits_CVPR_2023_paper.pdf,https//changeit3d.hub.io/#dataset, discriminative utterances produced by contrasting the shapes of common 3D objects for a variety of object classes and degrees of similarity,discriminative utterances for a total of 36;391 shapes; across 30 object classes; Overall; ShapeTalk contains 73;799 distinct contexts; and a total of 536;596 utterances,indoor,,,,Retrieval,4,0,,
SHREC'19 ,FARM: Functional Automatic Registration Method for 3D Human Bodies,2019,CGF,https://profs.scienze.univr.it/~marin/shrec19/,,benchmark to evaluate the performance of point-to-point matching pipelines when the shapes to be matched have different connectivity,We consider the concurrent presence of 1) different meshing; 2) rigid transformation in 3D space; 3) non-rigid deformations; 4) different vertex density; ranging from 5K to more than 50K; and 5) topological changes induced by mesh gluing in areas of contact,other,synthetic,,,3D Dense Shape Correspondence,18,1,,
SHREC'20 ,SHREC’20: Shape correspondence with non-isometric deformations,2020,3DOR,http://robertodyke.com/shrec2020/index2.html,,dataset of highly non-isometric non-rigid quadruped shapes with consensus-based ground-truth correspondences; they identified a set of synthetic models and real-world scans of 3D shapes and produced a set of ground truth correspondences,14 (animal -> mammal) models ,other,mixed,,,matching pairs of full-to-full and partial-to-full models,1,0,,
SLAM2REF,BIM-SLAM: Integrating BIM Models in Multi-session SLAM for Lifelong Mapping using 3D LiDAR,2023,ISARC,https://arxiv.org/pdf/2408.15870v1,https//mediatum.ub.tum.de/1459256?show_id=1743877,This dataset comprehends the 3D building information model (in IFC and Revit formats); manually elaborated based on the terrestrial laser scanner of the sequence 2 of ConSLAM; and the refined ground truth (GT) poses (in TUM format) of sessions 2; 3; 4; and 5 of the open-access ConSLAM dataset (which provides camera; LiDAR; and IMU measurements),This dataset comprehends the 3D building information model (in IFC and Revit formats); manually elaborated based on the terrestrial laser scanner of the sequence 2 of ConSLAM; and the refined ground truth (GT) poses (in TUM format) of sessions 2; 3; 4; and 5 of the open-access ConSLAM dataset (which provides camera; LiDAR; and IMU measurements).,indoor,,,,(2D / 3D / 6D) Pose Estimation; Visual Odometry; Camera Localization; Camera Relocalization; Pose Retrieval; Object SLAM; Semantic Slam…,2,0,,
SNARE (ShapeNet Annotated with Referring Expressions),Language Grounding with 3D Objects,2021,PMLR,https://arxiv.org/pdf/2107.12514v2,https//hub.com/snaredataset/snare,ShapeNet Annotated with Referring Expressions,To construct SNARE; we select a subset of 7;897 ACRONYM object models from ShapeNetSem. We obtain over 50;000 natural language referring expressions in English for these object models via Amazon Mechanical Turk (AMT),indoor,,,,ground language to 3D object models,7,0,,
SODA-A,Towards Large-Scale Small Object Detection: Survey and Benchmarks,2022,TPAMI,https://arxiv.org/pdf/2207.14096v4,https//shaunyuan22.hub.io/SODA/, large-scale benchmark specialized for small object detection task under aerial scenes,800203 instances with oriented rectangle box annotation across 9 classes; 2510 high-resolution images extracted from Google Earth,outdoor,,,,Object Detection in Aerial Images; Small Object Detection; Oriented Object Detection,3,0,,
SPACE,SPACE: A SIMULATOR FOR PHYSICAL INTERACTIONS AND CAUSAL LEARNING IN 3D,2021,ICCV,https://arxiv.org/pdf/2108.06180v1,https//hub.com/jiafei1224/SPACE,simulator for physical Interactions and causal learning in 3D environments; SPACE dataset; a synthetic video dataset in a 3D environment,There are 15;000 unique scene instances generated for the SPACE simulator; with 5;000 scenes for each category of physical interactions. From there; we collect 15;000 videos lasting 3 seconds with a frame rate of 50 frames per second (FPS); which total up to 2;250;000 frames. Besides the RGB frames; we also provide the segmentation map; optical flow map; depth map and surface normal vector map,other,synthetic,,,Semantic Object Interaction Classification,6,1,,
Spatial Commonsense Graph Dataset,Spatial Commonsense Graph for Object Localisation in Partial Scenes,2022,CVPR,https://arxiv.org/pdf/2203.05380v2,https//fgiuliari.hub.io,Dataset built from partial reconstructions of real-world indoor scenes using RGB-D sequences from ScanNet; aimed at estimating the unknown position of an object (e.g. where is the bag?) given a partial 3D scan of a scene; based on ScanNet sequences,based on ScanNet sequences; 24896 partial scenes with 19461 partial scenes to be used for training and validation; and 5435 partial scenes for testing,indoor,,,,Object Localization,1,0,,
SQA3D (Situated Question Answering in 3D Scenes),SQA3D: SITUATED QUESTION ANSWERING IN 3D SCENES,2023,ICLR,https://arxiv.org/pdf/2210.07474v5,https//sqa3d.hub.io,dataset for embodied scene understanding; where an agent needs to comprehend the scene it situates from an first person's perspective and answer questions,3 different modalities to represent a 3D scene: 3D scan; egocentric video and BEV picture; Based upon 650 scenes from ScanNet; around 6.8k unique situations; along with 20.4k descriptions and 33.4k diverse reasoning questions for these situations,indoor,,,,Question Answering; Referring Expression,23,2,,
SSCBench,SSCBench: A Large-Scale 3D Semantic Scene Completion Benchmark for Autonomous Driving,2023,arXiv,https://arxiv.org/pdf/2306.09001v2,https//hub.com/ai4ce/SSCBench,large-scale SSC benchmark in street views that facilitates the training of robust and generalizable SSC models,three subsets; including 38;562 frames for training; 15;798 frames for validation; and 12;553 frames for testing respectively; amounting totally to 66;913 frames,outdoor,,,,3D Semantic Scene Completion (from a single RGB image),3,0,,
Stanford Models (e.g. Stanford Bunny) [The Stanford 3D Scanning Repository],/,,/,/,https//graphics.stanford.edu/data/3Dscanrep/,In recent years; the number of range scanners and surface reconstruction algorithms has been growing rapidly. Many researchers; however; do not have access to scanning facilities or dense polygonal models. The purpose of this repository is to make some range data and detailed reconstructions available to the public.,6 scanned objecs (e.g. Standford Bunny),other,,,,Surface reconstruction,2,0,,
STPLS3D,STPLS3D: A Large-Scale Synthetic and Real Aerial Photogrammetry 3D Point Cloud Dataset,2022,BMVC,https://arxiv.org/pdf/2203.09065v3,https//www.stpls3d.com,large-scale aerial photogrammetry dataset with synthetic and real annotated 3D point clouds for semantic and instance segmentation tasks, richly-annotated synthetic 3D aerial photogrammetry point cloud dataset; more than 16 km^2 of landscapes and up to 18 fine-grained semantic categories; parallel dataset collected from four areas in the real environment,outdoor,mixed,,,(3D) Semantic Segmentation; (3D) Instance Segmentation; 3D Open-Vocabulary Instance-Segmentation,35,3,,
StreetLearn,The StreetLearn Environment and Dataset,2019,arXiv,https://arxiv.org/pdf/1903.01292v1,http//streetlearn.cc,An interactive; first-person; partially-observed visual environment that uses Google Street View for its photographic content and broad coverage; and give performance baselines for a challenging goal-driven navigation task,regions in New York City and Pittsburgh; Manhattan: 56K panoramic images; covering an area of 31.6 km2; Pittsburgh: 58K images; covering an area of 8.9 km by 3.9 km,outdoor,,,,Vision and Language Navigation,28,0,,
Structured3D,Structured3D: A Large Photo-realistic Dataset for Structured 3D Modeling,2020,ECCV,https://arxiv.org/pdf/1908.00222v3,https//hub.com/bertjiazheng/Structured3D,synthetic dataset with the aim of providing largescale photo-realistic images with rich 3D structure annotations for a wide spectrum of structured 3D modeling tasks,3;500 house designs with 21;835 rooms (hand-crafted by professional designers),indoor,synthetic,,,Semantic Segmentation; Image Generation; Metric Learning; Visual Localization; Room Layout Estomatimation; Indoor Localization,71,1,,
SUM,SUM: A Benchmark Dataset of Semantic Urban Meshes,2021,ISPRS,https://arxiv.org/pdf/2103.00355v2,https//3d.bk.tudelft.nl/projects/meshannotation/,benchmark dataset of semantic urban meshes which covers about 4 km2 in Helsinki (Finland),covers about 4 km2 in Helsinki (Finland); six classes: Ground; Vegetation; Building; Water; Vehicle; and Boat; based on Helsinki 3D textured meshes (covers about 12 km2) ,outdoor,,,,Semantic segmentation ,8,0,,
SUNCG,Semantic Scene Completion from a Single Depth Image,2017,CVPR,https://arxiv.org/pdf/1611.08974v1,https//sscnet.cs.princeton.edu,large-scale dataset of synthetic 3D scenes with dense volumetric annotations,45622 different scenes with realistic room and furniture layouts that are manually created though the Planner5D platform; 49884 valid floors; with contain 404058 rooms and 5697217 object instances from 2644 unique object meshes covering 84 categories,indoor,synthetic,scenes are manually created using Planner5D,84,Semantic Segmentation; Depth Estimation; Visual Navigation,184,0,,c
SUN3D ,SUN3D: A Database of Big Spaces Reconstructed Using SfM and Object Labels,2014,ICCV,https://openaccess.thecvf.com/content_iccv_2013/papers/Xiao_SUN3D_A_Database_2013_ICCV_paper.pdf,https//sun3d.cs.princeton.edu,large-scale RGB-D video database,8 annotated sequences; 415 sequences captured for 254 different spaces; in 41 different buildings; includes camera poses; number of object classes not specified,indoor,real,"RGB-D sensor (ASUS
Xtion PRO LIVE sensor)",-1,Semantic Segmentation; Pose Estimation; Depth Estimation,123,0,,c
SUN RGB-D,SUN RGB-D: A RGB-D Scene Understanding Benchmark Suite,2015,CVPR,https://openaccess.thecvf.com/content_cvpr_2015/papers/Song_SUN_RGB-D_A_2015_CVPR_paper.pdf,http//rgbd.cs.princeton.edu,The SUN RGBD dataset contains 10335 real RGB-D images of room scenes,10335 RGB-D images (similar scale as PASCAL VOC); Each RGB image has a corresponding depth and segmentation map; 700 object categories are labeled; training and testing sets contain 5285 and 5050 images; respectively; whole dataset is densely annotated and includes 146;617 2D polygons and 64;595 3D bounding boxes with accurate object orientations; as well as a 3D room layout and scene category for each image,indoor,,,,(3D) Object Detection; Semantic Segmentation; Panoptic Segmentation; Depth Estimation; Scene Segmentation; Scene Recognition; Scene Classification…,435,14,,
Swiss3DCities,Semantic Segmentation on Swiss3DCities: A Benchmark Study on Aerial Photogrammetric 3D Pointcloud Dataset,2021,Pattern Recognit. Lett.,https://arxiv.org/pdf/2012.12996v1,https//hub.com/NomokoAG/Swiss3DCities,outdoor urban 3D pointcloud dataset,total area of 2.7 km2 ; sampled from three Swiss cities with different characteristics,outdoor,,,,(3D) Semantic Segmentation; Autonomous Driving,4,0,,
Sydney Urban Objects,Unsupervised Feature Learning for Classification of Outdoor 3D Scans,2013,ACFR,https://www.acfr.usyd.edu.au/papers/SydneyUrbanObjectsDataset.shtml,,dataset contains a variety of common urban road objects scanned with a Velodyne HDL-64E LIDAR; collected in the CBD of Sydney; Australia,631 individual scans of objects across classes of vehicles; pedestrians; signs and trees,outdoor,,,,3D Point Cloud Classification,4,1,,
SynLiDAR,Transfer Learning from Synthetic to Real LiDAR Point Cloud for Semantic Segmentation,2022,AAAI,https://arxiv.org/pdf/2107.05399v2,https//hub.com/xiaoaoran/SynLiDAR,large-scale synthetic LiDAR sequential point cloud dataset with point-wise annotations,13 sequences of LiDAR point cloud with around 20k scans (over 19 billion points and 32 semantic classes) are collected from virtual urban cities; suburban towns; neighborhood; and harbor,outdoor,synthetic,,,Unsupervised Domain Adaption; 3D Semantic Segmentation; 3D Unsupervised Domain Adaption,13,1,,
Synscapes,Synscapes: A Photorealistic Synthetic Dataset for Street Scene Parsing,2018,arXiv,https://arxiv.org/pdf/1810.08705v1,https//7dlabs.com/synscapes-overview,synthetic dataset for street scene parsing created using photorealistic rendering techniques,Synscapes consists of 25;000 RGB images in PNG format at 1440×720 resolution; Synscapes was designed to be similar in structure and content to the Cityscapes dataset -> includes all 19 of its training classes for semantic segmentation,outdoor,synthetic,,,Object Detection; Semantic Segmentation; Domain Adaption; Instance Segmentation; Image-to-Image Translation,44,1,,
SYNTHIA (SYNTHetic Collection of Imagery and Annotations),The SYNTHIA Dataset: A Large Collection of Synthetic Images for Semantic Segmentation of Urban Scenes,2016,CVPR,https://openaccess.thecvf.com/content_cvpr_2016/papers/Ros_The_SYNTHIA_Dataset_CVPR_2016_paper.pdf,https//synthia-dataset.net,SYNTHIA = SYNTHetic Collection of Imagery and Annotations; dataset for semantic segmentation of driving scenes,more than 213;400 synthetic images including both; random snapshots and video sequences in a virtual city;  Images are generated simulating different seasons; weather and illumination conditions from multiple view-points; Frames include pixel-level semantic annotations and depth; SYNTHIA was used to train DCNNs for the semantic segmentation of 11 (now 13) common classes in driving scenes,outdoor,synthetic,,,Semantic Segmentation; Domain Adaption; Image-to-Image Translation; Novel View Synthesis; Synthetic-to-real Translation…,516,11,,
SYNTHIA -PANO,Semantic Segmentation of Panoramic Images Using a Synthetic Dataset,2019,SPIE,https://arxiv.org/pdf/1909.00532v1,https//hub.com/Francis515/SYNTHIA-PANO,panoramic version of SYNTHIA dataset,Five sequences are included: Seqs02-summer; Seqs02-fall; Seqs04-summer; Seqs04-fall and Seqs05-summer; Panomaramic images with fine annotation for semantic segmentation,outdoor,,,,Semantic Segmentation,1,0,,
T-LESS (Texture-Less),T-LESS: An RGB-D Dataset for 6D Pose Estimation of Texture-less Objects,2017,WACV,https://arxiv.org/pdf/1701.05498v1,https//cmp.felk.cvut.cz/t-less/,dataset for estimating the 6D pose; i.e. translation and rotation; of texture-less rigid objects,3 synchronized sensors: a structured-light and a time-of-flight RGB-D sensor and a high-resolution RGB camera; approximately 39K training and 10K test images from each sensor; Additionally; two types of 3D models are provided for each object; i.e. a manually created CAD model and a semi-automatically reconstructed one,other,synthetic,,,6D Pose Estimation using RGB / RGBD,83,2,,
Talk2Nav,Talk2Nav: Long-Range Vision-and-Language Navigation with Dual Attention and Spatial Memory,2020,IJRR,https://arxiv.org/pdf/1910.02029v3,https//www.trace.ethz.ch/publications/2019/talk2nav/index.html, large-scale dataset with verbal navigation instructions,10; 714 routes (navigation routes at city levels); A route from a source node to a destination node is composed of densely sampled atomic unit nodes. Each node contains a) a street-view panoramic image; b) the GPS coordinates of that location; c) the bearing angles to connecting edges (roads),outdoor,,,,Autonomous Driving; Visual Navigation; Visual and Language Navigation,2,0,,
Talk the Walk,TALK THE WALK: NAVIGATING GRIDS IN NEW YORK CITY THROUGH GROUNDED DIALOGUE,2019,ICLR,https://arxiv.org/pdf/1807.03367v3,https//hub.com/facebookresearch/talkthewalk,large-scale dialogue dataset grounded in action and perception. The task involves two agents (a “guide” and a “tourist”) that communicate via natural language in order to achieve a common goal: having the tourist navigate to a given target location,over 10k successful dialogues,outdoor,,,,Visual Navigation; Vision-Language Navigation,11,0,,
TEACh (Task-driven Embodied Agents that Chat),TEACh: Task-driven Embodied Agents that Chat,2022,AAAI,https://arxiv.org/pdf/2110.00534v3,https//hub.com/alexa/teach,dataset of human-human interactive dialogues to complete tasks in a simulated household environment,over 3;000 human--human; interactive dialogues to complete household tasks in simulation (A Commander with access to oracle information about a task communicates in natural language with a Follower. The Follower navigates through and interacts with the environment to complete tasks varying in complexity from Make Coffee to Prepare Breakfast; asking questions and getting additional information from the Commander),indoor,synthetic,,,Vision-Language Navigation,28,0,,
Text-to-3D House Model,Intelligent Home 3D: Automatic 3D-House Design from Linguistic Descriptions Only,2020,CVPR,https://arxiv.org/pdf/2003.00397v1,https//hub.com/chenqi008/HPGM,They formulate home design as a language conditioned visual content generation problem that is further divided into a floor plan generation and an interior texture (such as floor and wall) synthesis task,2;000 houses; 13;478 rooms and 873 texture images with corresponding natural language descriptions; average length of the description is 173.73 and there are 193 unique words; experiments: a) building layout generation: 1;600 pairs for training; 400 for testing; b)  texture synthesis: 503 data for training; 370 data for testing ,indoor,,,,Home Design,3,0,,
Text2Shape,Text2Shape: Generating Shapes from Natural Language by Learning Joint Embeddings,2018,arXiv,https://arxiv.org/abs/1803.08495,http//text2shape.stanford.edu,large dataset of natural language descriptions for physical 3D objects in the ShapeNet dataset; method for generating colored 3D shapes from natural language,A) they created a realistic dataset with real 3D objects and natural language descriptions -> ShapeNet table and chair object categories (with 8;447 and 6;591 instances); 75;344 natural language descriptions (5 descriptions on average per shape); B) they created a dataset of 3D geometric primitives with corresponding text descriptions -> voxelizing 6 types of primitives (cuboids; ellipsoids; cylinders; cones; pyramids; and tori) in 14 color variations and 9 size variations; generating 10 samples from each of 756 possible primitive configurations; thus creating 7560 voxelized shapes;  In total; we generate 192;602 descriptions; for an average of about 255 descriptions per primitive configuration,,,,,generating colored 3D shapes from natural language,1,0,,
TextVQA,Towards VQA Models That Can Read,2019,CVPR,https://arxiv.org/pdf/1904.08920v2,https//textvqa.org,dataset to benchmark visual reasoning based on text in images,28;408 images from OpenImages; 45;336 questions; 453;360 ground truth answers,indoor,,,,Question Answering; Visual Question Answering (VQA),265,2,,
Tinto,Tinto: Multisensor Benchmark for 3D Hyperspectral Point Cloud Segmentation in the Geosciences,2023,TGRS,https://arxiv.org/pdf/2305.09928v2,https//rodare.hzdr.de/record/2256,multi-sensor benchmark digital outcrop dataset designed to facilitate the development and validation of deep learning approaches for geological mapping; especially for non-structured 3D data like point clouds,The point cloud is dense and contains 3;242;964 labeled points,outdoor,,,,Classification; Semantic Segmentation,1,0,,
